date,product_id,product_name,category,region,warehouse_location,selling_price,discount_percentage,competitor_pricing,promotion_active,marketing_spend,units_sold,previous_month_sales,current_inventory_level,units_ordered,safety_stock,lead_time,supplier_reliability,weather_condition,season,festival_holiday,epidemic_pandemic,inflation_rate,fuel_price_index,economic_condition,month,quarter,weekday,year,forecasted_demand
2024-01-01,PRD-8270,Product 8270,Clothing,West,WH-Delta,125.6383368955264,38.897226373516055,137.86163355244838,0,46.122484659181836,769,682.970748431943,153,208,116,8,0.7179344726335993,Snowy,Autumn,0,0.0,2.5078044828189046,3.345548977664098,Average,1,1,0,2024,513
2024-01-02,PRD-1860,Product 1860,Clothing,North,WH-Gamma,80.33693041244628,42.06698595030241,83.7926454443243,0,35.65821343786703,463,443.3897986265573,1996,179,64,8,0.964958934040818,Rainy,Spring,1,0.0,4.6765491499784675,4.48011091554967,Average,1,1,1,2024,469
2024-01-03,PRD-6390,Product 6390,Toys,North,WH-Delta,100.85033668328661,28.988322871713656,103.16265577416569,1,548.600053196833,226,234.90470863027187,1719,207,35,3,0.9022478266598901,Snowy,Summer,0,0.0,3.3253775271848673,3.2386006908348524,Average,1,1,2,2024,361
2024-01-04,PRD-6191,Product 6191,Clothing,East,WH-Alpha,99.21093315210913,30.94675813817169,90.22319751367203,0,45.126126950814644,51,48.431757041256716,1417,272,83,6,0.811076435176729,Sunny,Spring,0,0.0,2.986330303356574,3.232304014471734,Average,1,1,3,2024,224
2024-01-05,PRD-6734,Product 6734,Clothing,South,WH-Gamma,261.30281089472567,14.14429548931826,281.1153243231578,0,41.456601482419906,203,192.84575463977953,1444,64,56,15,0.757140047049355,Cloudy,Spring,0,0.0,5.425273000059079,4.1554289324277205,Good,1,1,4,2024,242
2024-01-06,PRD-7265,Product 7265,Grocery,South,WH-Delta,423.95081478219157,44.74346003527599,450.46951933900067,0,35.83882274171131,336,286.686844304824,82,379,172,9,0.9449599295701614,Cloudy,Spring,1,0.0,5.628002640658077,3.1238607369753844,Average,1,1,5,2024,419
2024-01-07,PRD-1466,Product 1466,Furniture,North,WH-Alpha,49.00648772632776,1.2103022211264913,50.62174199174188,0,1.6289191196087238,382,449.3460992862674,798,20,28,13,0.8809723964184435,Rainy,Winter,0,0.0,5.765937986247879,2.9675722072848143,Average,1,1,6,2024,281
2024-01-08,PRD-5426,Product 5426,Furniture,North,WH-Delta,356.40859606177713,17.430123472142284,344.9415640212371,1,691.6142717748914,474,521.4937353002703,423,437,175,8,0.8081247558844004,Sunny,Summer,0,0.0,2.7264773969443348,3.3464205103506446,Good,1,1,0,2024,503
2024-01-09,PRD-6578,Product 6578,Grocery,West,WH-Beta,330.6297652299003,36.0900210774928,302.22899608832574,0,31.594483610092716,172,137.68554859398782,1921,366,156,7,0.8331507474407549,Rainy,Spring,0,0.0,5.606306742925981,3.9012816011523856,Average,1,1,1,2024,289
2024-01-10,PRD-9322,Product 9322,Toys,East,WH-Alpha,437.53477639638754,4.004475483558062,444.5387007777546,0,26.11252621783825,285,315.2799143785268,1251,176,159,14,0.9479627968217129,Sunny,Spring,1,0.0,4.8163449962728,2.5864860499585305,Good,1,1,2,2024,316
2024-01-11,PRD-2685,Product 2685,Electronics,East,WH-Alpha,129.63230464838455,9.158476371414631,135.32820737182607,0,15.965916324892193,373,408.7774129045525,1085,362,165,13,0.8016781580070603,Snowy,Winter,0,0.0,2.1939663681986126,3.2478320544371337,Poor,1,1,3,2024,307
2024-01-12,PRD-1769,Product 1769,Electronics,North,WH-Alpha,230.5538307556645,29.464286393142558,211.84394244295524,1,583.2406825197588,651,523.3339420244982,1936,21,109,18,0.7268898034329786,Snowy,Spring,0,0.0,4.246215127386947,3.1924898038916805,Average,1,1,4,2024,557
2024-01-13,PRD-7949,Product 7949,Electronics,West,WH-Gamma,463.6554134773235,27.999683573177897,476.0598334000766,0,27.64982913444608,784,743.1079077316766,790,324,93,17,0.9733846516610418,Sunny,Summer,0,0.0,1.6185066868814606,2.989636694524065,Good,1,1,5,2024,617
2024-01-14,PRD-3433,Product 3433,Grocery,West,WH-Gamma,333.3967905663054,36.94641480654775,319.1518171018092,0,14.29587879311065,489,509.87984822767373,1894,447,144,2,0.8162031218974104,Snowy,Spring,0,0.0,4.687701700968893,3.8085746718086897,Good,1,1,6,2024,455
2024-01-15,PRD-6311,Product 6311,Grocery,South,WH-Gamma,200.49652230218248,40.63063195440859,211.09253178078663,0,11.650024490449818,698,684.8079819987636,1854,35,70,8,0.804516253334564,Cloudy,Summer,0,0.0,4.801053851929223,3.079980160827355,Average,1,1,0,2024,557
2024-01-16,PRD-6051,Product 6051,Clothing,South,WH-Beta,74.39206759908154,6.428978925583456,74.98148860627494,1,801.8402755046255,988,1097.8601141183444,939,249,51,4,0.7613198856627817,Sunny,Summer,0,0.0,5.052023288677487,3.713463118016006,Average,1,1,1,2024,759
